text,intent
两个小时后开灯,add
明天早上开会,add
下午两点起来,add
五分钟后烤箱调到两百度,add
明天早上八点开始加热,add
十六点半开灯,add
一个小时四十五分钟后关掉空调,add
过一会儿打开空调,add
等一下打开空调,add
明天早上八点半打开空调,add
今晚十一点半把空调温度调高,add
今晚十一点半把空调温度调高,add
今晚十一点半把空调温度调高,add
今晚十一点半把空调温度调高,add
今晚十一点半把空调温度调高,add
今晚十一点半把空调温度调高,add
今晚十一点半把空调温度调高,add
今晚十一点半把空调温度调高,add
今晚十一点半把空调温度调高,add
等下不要开灯了,edit
取消明天的会议,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
取消定时关机,edit
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
把明天的会议改到后天,cancel
